,footlength,Age,weightkg,stature,waistbreadth/chestbreadth,error,waistcircumference
363,251,47,754,1731,1.1660516605166051,-29.1373291015625,917
364,271,31,941,1825,1.2342657342657342,-17.55828857421875,996
365,261,39,920,1635,1.1716171617161717,0.87255859375,1046
366,272,35,905,1736,1.1694915254237288,-15.599853515625,989
367,276,34,1021,1692,1.310580204778157,-23.8758544921875,1105
368,257,24,650,1665,1.0182481751824817,6.05950927734375,785
369,295,31,977,1856,1.146103896103896,-25.92138671875,955
370,291,23,1130,1874,1.271186440677966,-50.3359375,1043
371,275,28,894,1672,1.0828025477707006,22.48773193359375,978
372,268,20,763,1807,1.0244755244755244,-17.22357177734375,803
373,281,24,1241,1892,1.204268292682927,4.870849609375,1157
374,280,21,876,1795,1.1141868512110726,-10.8011474609375,900
375,289,19,689,1798,0.9962264150943396,-4.78240966796875,757
376,252,21,736,1721,1.006993006993007,-2.02374267578125,810
377,270,21,759,1687,1.0772058823529411,-43.43426513671875,809
378,256,20,702,1745,1.0377358490566038,-10.47576904296875,788
379,283,51,1018,1836,1.2417218543046358,-12.2967529296875,1067
380,290,34,887,1751,1.1689189189189189,38.91851806640625,999
381,298,39,1266,1856,1.378839590443686,-18.2325439453125,1196
382,264,31,842,1702,1.1473684210526316,-7.69622802734375,952
383,253,23,699,1717,1.006993006993007,3.75048828125,799
384,279,20,713,1759,1.0615942028985508,-18.3782958984375,789
385,274,29,1099,1789,1.1956521739130435,-10.360595703125,1095
386,291,29,1042,1838,1.15359477124183,6.94793701171875,1029
387,259,20,633,1639,1.0784313725490196,-14.10797119140625,772
388,269,44,921,1674,1.2112676056338028,-35.1456298828125,1017
389,258,38,955,1745,1.2206896551724138,-41.0657958984375,1023
390,250,21,709,1662,1.036101083032491,-4.1158447265625,817
391,251,19,773,1674,1.1152416356877324,-7.7398681640625,877
392,264,25,781,1688,1.1970260223048328,-2.371826171875,926
393,278,31,1017,1744,1.3120805369127517,45.8489990234375,1149
394,270,28,1028,1773,1.275,-63.0970458984375,1030
395,286,25,910,1835,1.193916349809886,-91.56689453125,870
396,272,36,787,1736,1.0528169014084507,-0.58123779296875,884
397,250,32,781,1668,1.1890909090909092,-2.82720947265625,955
398,268,28,931,1791,1.261168384879725,20.43621826171875,1042
399,266,33,793,1816,1.15,18.3243408203125,924
400,267,29,812,1781,1.2172284644194757,5.77178955078125,944
401,281,22,621,1759,1.0520446096654275,4.5224609375,759
402,253,26,758,1673,1.1227436823104693,2.76995849609375,897
403,271,21,745,1734,1.0565371024734982,21.5701904296875,852
404,250,28,819,1640,1.1756756756756757,27.55145263671875,1001
405,247,28,714,1663,1.126865671641791,20.8861083984375,897
406,270,40,865,1646,1.0869565217391304,-30.2841796875,951
407,288,19,1091,1810,1.2416107382550337,16.2919921875,1093
408,263,19,780,1701,1.212686567164179,12.1759033203125,931
409,281,20,942,1850,1.1827586206896552,-33.9610595703125,938
410,275,30,832,1764,1.0606060606060606,-10.52484130859375,884
411,267,26,838,1863,1.1914893617021276,15.805908203125,948
412,274,19,987,1764,1.2233333333333334,47.650146484375,1078
413,294,42,958,1811,1.2226027397260273,14.173583984375,1034
414,293,20,962,1795,1.1870748299319729,-18.65228271484375,969
415,244,21,545,1583,1.069672131147541,-12.76971435546875,747
416,274,19,777,1768,1.0668896321070234,33.719482421875,878
417,281,20,819,1886,1.0397350993377483,58.38885498046875,872
418,274,42,885,1681,1.2941176470588236,10.0291748046875,1054
419,270,42,791,1698,1.1619718309859155,-36.0374755859375,914
420,265,35,868,1708,1.1582491582491583,14.5018310546875,1012
421,268,45,854,1642,1.2593856655290103,30.4215087890625,1059
422,284,28,1008,1789,1.1721854304635762,13.6483154296875,1046
423,244,46,807,1664,1.1758620689655173,36.525634765625,1042
424,279,27,1021,1880,1.176079734219269,29.02001953125,1047
425,264,33,922,1740,1.2299651567944252,-4.5399169921875,1030
426,273,42,656,1710,1.0869565217391304,10.735107421875,835
427,262,22,864,1738,1.2254545454545454,2.606201171875,975
428,253,28,812,1777,1.1095406360424027,-2.80401611328125,911
429,267,43,709,1613,1.2835249042145593,8.81951904296875,945
430,254,29,870,1649,1.222950819672131,19.796630859375,1036
431,282,24,780,1786,1.0073529411764706,-40.60498046875,780
432,256,33,734,1730,1.0866425992779782,40.82000732421875,909
433,266,19,819,1763,1.0323624595469256,72.6334228515625,929
434,269,20,618,1768,0.9558823529411765,-10.38330078125,723
435,266,19,732,1834,1.083941605839416,-12.866943359375,809
436,284,20,682,1767,1.0228136882129277,-4.5679931640625,769
437,292,21,910,1844,1.1565836298932384,14.54107666015625,955
